,precision,recall,f1-score,support
5_o_Clock_Shadow,0.6523364485981309,0.2341757995974055,0.3446346280447663,4471.0
Arched_Eyebrows,0.6084782090974041,0.4721862871927555,0.5317377731529657,10822.0
Attractive,0.7814687087939953,0.744324219882137,0.7624443344878773,20702.0
Bags_Under_Eyes,0.5866369710467706,0.1571974218190499,0.24795255577520475,8378.0
Bald,0.6938775510204082,0.33663366336633666,0.4533333333333333,909.0
Bangs,0.7675753228120517,0.5130254115390762,0.6150014369192451,6257.0
Big_Lips,0.5695674830640959,0.11161033391197794,0.18664617486338797,9793.0
Big_Nose,0.6518501279962765,0.29283847360167276,0.4041263886885009,9565.0
Black_Hair,0.736805874254245,0.6655611980516115,0.6993738088755785,9649.0
Blond_Hair,0.8291807432432432,0.65200066412087,0.7299934938191281,6023.0
Blurry,0.4198895027624309,0.03891449052739376,0.07122774133083412,1953.0
Brown_Hair,0.6836343732895457,0.44264619019492024,0.5373583823318514,8465.0
Bushy_Eyebrows,0.7107123436650353,0.2263203463203463,0.34331494615182556,5775.0
Chubby,0.4766355140186916,0.13127413127413126,0.2058526740665994,2331.0
Double_Chin,0.4713740458015267,0.13034300791556727,0.20421661843737082,1895.0
Eyeglasses,0.8166666666666667,0.47333848531684697,0.5993150684931506,2588.0
Goatee,0.6323268206039077,0.2807570977917981,0.3888585472419443,2536.0
Gray_Hair,0.7215909090909091,0.44405594405594406,0.5497835497835498,1716.0
Heavy_Makeup,0.8297065282491515,0.7948489098559225,0.8119037541106372,15686.0
High_Cheekbones,0.8097588404348369,0.7037901824500434,0.7530649003544245,18416.0
Male,0.8884429709765602,0.906904945674761,0.897579033964038,16843.0
Mouth_Slightly_Open,0.815895597625182,0.7365626738130151,0.7742021205920651,19777.0
Mustache,0.415,0.049760191846522785,0.08886509635974305,1668.0
Narrow_Eyes,0.2857142857142857,0.0004278990158322636,0.0008545182653279214,4674.0
No_Beard,0.924149855907781,0.9464333146415607,0.9351588586092764,33883.0
Oval_Face,0.6500683994528044,0.20372116951041755,0.3102232667450059,11663.0
Pale_Skin,0.6653386454183267,0.0983510011778563,0.17136993329912775,1698.0
Pointy_Nose,0.5663924794359577,0.17048368556017332,0.2620811527220825,11309.0
Receding_Hairline,0.6079632465543645,0.12340690083929126,0.20516795865633075,3217.0
Rosy_Cheeks,0.602829162132753,0.2046545991872922,0.3055708769994484,2707.0
Sideburns,0.6794625719769674,0.3110720562390158,0.4267631103074141,2276.0
Smiling,0.8455479052398179,0.740545789043336,0.7895711872718356,19568.0
Straight_Hair,0.5391367959034382,0.08758169934640522,0.1506849315068493,8415.0
Wavy_Hair,0.6820095425203481,0.5622397038408145,0.6163601775523145,12966.0
Wearing_Earrings,0.6299411269974768,0.2894872455552693,0.39668108394386087,7762.0
Wearing_Hat,0.8408851422550052,0.3997995991983968,0.5419354838709678,1996.0
Wearing_Lipstick,0.8804261828155493,0.8712354507020199,0.8758067054934676,19159.0
Wearing_Necklace,0.5172413793103449,0.0272892662219527,0.05184331797235023,4947.0
Wearing_Necktie,0.7685069008782937,0.4148323738570945,0.5388168022872224,2953.0
Young,0.8510443752321628,0.9516871165644172,0.8985564086705987,31296.0
